Name of seller,Seller ID,Date,Region,State,Soda brand,Unit Price,Units Sold,Expenses,,,,
Sodapop,1185732,14-1-2022,Northeast,New York,Coca-Cola,$0.50 ,"12,000","$1,260 ",,,,
Sodapop,1185732,14-1-2022,Northeast,New York,Diet Coke,$0.50 ,"10,000","$1,700 ",,,,
Sodapop,1185732,14-1-2022,Northeast,New York,Sprite,$0.40 ,"10,000",$480 ,,,,
Sodapop,1185732,14-1-2022,Northeast,New York,Fanta,$0.45 ,"8,500",$497 ,,,,
Sodapop,1185732,14-1-2022,Northeast,New York,Powerade,$0.60 ,"9,000",$918 ,,,,
Sodapop,1185732,14-1-2022,Northeast,New York,Dasani Water,$0.50 ,"10,000","$1,050 ",,,,
Sodapop,1185732,12-2-2022,Northeast,New York,Coca-Cola,$0.50 ,"12,500",$875 ,,,,
Sodapop,1185732,12-2-2022,Northeast,New York,Diet Coke,$0.50 ,"9,000",$225 ,,,,
Sodapop,1185732,12-2-2022,Northeast,New York,Sprite,$0.40 ,"9,500",$304 ,,,,
Sodapop,1185732,12-2-2022,Northeast,New York,Fanta,$0.45 ,"8,250",$408 ,,,,
Sodapop,1185732,12-2-2022,Northeast,New York,Powerade,$0.60 ,"9,000",$810 ,,,,
Sodapop,1185732,12-2-2022,Northeast,New York,Dasani Water,$0.50 ,"10,000","$1,700 ",,,,
Sodapop,1185732,10-3-2022,Northeast,New York,Coca-Cola,$0.50 ,"12,200","$2,074 ",,,,
Sodapop,1185732,10-3-2022,Northeast,New York,Diet Coke,$0.50 ,"9,250","$1,573 ",,,,
Sodapop,1185732,10-3-2022,Northeast,New York,Sprite,$0.40 ,"9,500","$1,862 ",,,,
Sodapop,1185732,10-3-2022,Northeast,New York,Fanta,$0.45 ,"8,000",$504 ,,,,
Sodapop,1185732,10-3-2022,Northeast,New York,Powerade,$0.60 ,"8,500",$714 ,,,,
Sodapop,1185732,10-3-2022,Northeast,New York,Dasani Water,$0.50 ,"9,500",$713 ,,,,
Sodapop,1185732,11-4-2022,Northeast,New York,Coca-Cola,$0.50 ,"12,000","$1,440 ",,,,
Sodapop,1185732,11-4-2022,Northeast,New York,Diet Coke,$0.50 ,"9,000",$855 ,,,,
Sodapop,1185732,11-4-2022,Northeast,New York,Sprite,$0.40 ,"9,000","$1,656 ",,,,
Sodapop,1185732,11-4-2022,Northeast,New York,Fanta,$0.45 ,"8,250",$483 ,,,,
Sodapop,1185732,11-4-2022,Northeast,New York,Powerade,$0.60 ,"8,250","$1,040 ",,,,
Sodapop,1185732,11-4-2022,Northeast,New York,Dasani Water,$0.50 ,"9,500","$1,948 ",,,,
Sodapop,1185732,10-5-2022,Northeast,New York,Coca-Cola,$0.60 ,"12,200","$1,318 ",,,,
Sodapop,1185732,10-5-2022,Northeast,New York,Diet Coke,$0.55 ,"9,250",$407 ,,,,
Sodapop,1185732,10-5-2022,Northeast,New York,Sprite,$0.50 ,"9,000","$1,710 ",,,,
Sodapop,1185732,10-5-2022,Northeast,New York,Fanta,$0.50 ,"8,500",$893 ,,,,
Sodapop,1185732,10-5-2022,Northeast,New York,Powerade,$0.60 ,"8,750","$1,785 ",,,,
Sodapop,1185732,10-5-2022,Northeast,New York,Dasani Water,$0.65 ,"10,000",$780 ,,,,
Sodapop,1185732,12-6-2022,Northeast,New York,Coca-Cola,$0.60 ,"12,500",$975 ,,,,
Sodapop,1185732,12-6-2022,Northeast,New York,Diet Coke,$0.55 ,"10,000",$935 ,,,,
Sodapop,1185732,12-6-2022,Northeast,New York,Sprite,$0.50 ,"9,250",$971 ,,,,
Sodapop,1185732,12-6-2022,Northeast,New York,Fanta,$0.50 ,"9,000",$630 ,,,,
Sodapop,1185732,12-6-2022,Northeast,New York,Powerade,$0.60 ,"9,000",$270 ,,,,
Sodapop,1185732,12-6-2022,Northeast,New York,Dasani Water,$0.65 ,"10,500",$546 ,,,,
Sodapop,1185732,10-7-2022,Northeast,New York,Coca-Cola,$0.60 ,"12,750",$842 ,,,,
Sodapop,1185732,10-7-2022,Northeast,New York,Diet Coke,$0.55 ,"10,250",$846 ,,,,
Sodapop,1185732,10-7-2022,Northeast,New York,Sprite,$0.50 ,"9,500","$1,615 ",,,,
Sodapop,1185732,10-7-2022,Northeast,New York,Fanta,$0.50 ,"9,000","$1,530 ",,,,
Sodapop,1185732,10-7-2022,Northeast,New York,Powerade,$0.60 ,"9,250","$1,887 ",,,,
Sodapop,1185732,10-7-2022,Northeast,New York,Dasani Water,$0.65 ,"11,000","$3,504 ",,,,
Sodapop,1185732,11-8-2022,Northeast,New York,Coca-Cola,$0.60 ,"12,500","$1,050 ",,,,
Sodapop,1185732,11-8-2022,Northeast,New York,Diet Coke,$0.55 ,"10,250",$789 ,,,,
Sodapop,1185732,11-8-2022,Northeast,New York,Sprite,$0.50 ,"9,500",$713 ,,,,
Sodapop,1185732,11-8-2022,Northeast,New York,Fanta,$0.50 ,"9,250","$1,110 ",,,,
Sodapop,1185732,11-8-2022,Northeast,New York,Powerade,$0.60 ,"9,000","$1,026 ",,,,
Sodapop,1185732,11-8-2022,Northeast,New York,Dasani Water,$0.65 ,"10,750","$3,214 ",,,,
Sodapop,1185732,10-9-2022,Northeast,New York,Coca-Cola,$0.60 ,"12,000",$936 ,,,,
Sodapop,1185732,10-9-2022,Northeast,New York,Diet Coke,$0.55 ,"10,000","$1,155 ",,,,
Sodapop,1185732,10-9-2022,Northeast,New York,Sprite,$0.50 ,"9,250","$1,896 ",,,,
Sodapop,1185732,10-9-2022,Northeast,New York,Fanta,$0.50 ,"9,000",$810 ,,,,
Sodapop,1185732,10-9-2022,Northeast,New York,Powerade,$0.60 ,"9,000",$432 ,,,,
Sodapop,1185732,10-9-2022,Northeast,New York,Dasani Water,$0.65 ,"10,000","$1,365 ",,,,
