"sepal_length","sepal_width","petal_length","petal_width","species","petal_length_width_ratio"
5.84832214765101,3.5,1.4,0.2,"setosa",7
4.9,3,1.4,0.2,"setosa",7
4.7,3.2,1.3,0.2,"setosa",6.5
4.6,3.1,1.5,0.2,"setosa",7.5
5,3.6,1.4,0.2,"setosa",7
5.4,3.9,1.7,0.4,"setosa",4.25
4.6,3.4,1.4,0.3,"setosa",4.66666666666667
5,3.4,1.5,0.2,"setosa",7.5
4.4,2.9,1.4,0.2,"setosa",7
4.9,3.1,1.5,0.1,"setosa",15
5.4,3.7,1.5,0.2,"setosa",7.5
4.8,3.4,1.6,0.2,"setosa",8
4.8,3,1.4,0.1,"setosa",14
4.3,3,1.1,0.1,"setosa",11
5.8,4,1.2,0.2,"setosa",6
5.7,4.4,1.5,0.4,"setosa",3.75
5.4,3.9,1.3,0.4,"setosa",3.25
5.1,3.5,1.4,0.3,"setosa",4.66666666666667
5.7,3.8,1.7,0.3,"setosa",5.66666666666667
5.1,3.8,1.5,0.3,"setosa",5
5.4,3.4,1.7,0.2,"setosa",8.5
5.1,3.7,1.5,0.4,"setosa",3.75
4.6,3.6,1,0.2,"setosa",5
5.1,3.3,1.7,0.5,"setosa",3.4
4.8,3.4,1.9,0.2,"setosa",9.5
5,3,1.6,0.2,"setosa",8
5,3.4,1.6,0.4,"setosa",4
5.2,3.5,1.5,0.2,"setosa",7.5
5.2,3.4,1.4,0.2,"setosa",7
4.7,3.2,1.6,0.2,"setosa",8
4.8,3.1,1.6,0.2,"setosa",8
5.4,3.4,1.5,0.4,"setosa",3.75
5.2,4.1,1.5,0.1,"setosa",15
5.5,4.2,1.4,0.2,"setosa",7
4.9,3.1,1.5,0.2,"setosa",7.5
5,3.2,1.2,0.2,"setosa",6
5.5,3.5,1.3,0.2,"setosa",6.5
4.9,3.6,1.4,0.1,"setosa",14
4.4,3,1.3,0.2,"setosa",6.5
5.1,3.4,1.5,0.2,"setosa",7.5
5,3.5,1.3,0.3,"setosa",4.33333333333333
4.5,2.3,1.3,0.3,"setosa",4.33333333333333
4.4,3.2,1.3,0.2,"setosa",6.5
5,3.5,1.6,0.6,"setosa",2.66666666666667
5.1,3.8,1.9,0.4,"setosa",4.75
4.8,3,1.4,0.3,"setosa",4.66666666666667
5.1,3.8,1.6,0.2,"setosa",8
4.6,3.2,1.4,0.2,"setosa",7
5.3,3.7,1.5,0.2,"setosa",7.5
5,3.3,1.4,0.2,"setosa",7
7,3.2,4.7,1.4,"versicolor",3.35714285714286
6.4,3.2,4.5,1.5,"versicolor",3
6.9,3.1,4.9,1.5,"versicolor",3.26666666666667
5.5,2.3,4,1.3,"versicolor",3.07692307692308
6.5,2.8,4.6,1.5,"versicolor",3.06666666666667
5.7,2.8,4.5,1.3,"versicolor",3.46153846153846
6.3,3.3,4.7,1.6,"versicolor",2.9375
4.9,2.4,3.3,1,"versicolor",3.3
6.6,2.9,4.6,1.3,"versicolor",3.53846153846154
5.2,2.7,3.9,1.4,"versicolor",2.78571428571429
